user,liked_user
1,445
1,186
1,618
1,678
1,64
1,538
1,205
1,970
1,671
1,16
1,31
1,84
1,157
1,248
1,480
2,738
2,387
2,65
2,66
2,451
2,948
2,572
2,51
2,868
2,513
2,489
2,27
2,362
2,418
2,59
3,569
3,644
3,480
3,276
3,126
3,172
3,507
3,706
3,388
3,376
3,74
3,540
3,687
3,967
3,153
4,878
4,781
4,373
4,424
4,519
4,847
4,182
4,594
4,179
4,76
4,236
4,593
4,765
4,474
4,492
5,357
5,504
5,619
5,629
5,692
5,927
5,366
5,286
5,555
5,652
5,906
5,208
5,413
5,831
5,177
6,203
6,664
6,247
6,773
6,211
6,225
6,230
6,264
6,326
6,335
6,359
6,367
6,620
6,953
6,41
7,811
7,790
7,48
7,53
7,721
7,929
7,870
7,27
7,277
7,312
7,362
7,135
7,625
7,244
7,354
8,138
8,234
8,164
8,249
8,420
8,464
8,670
8,719
8,722
8,945
8,623
8,137
8,714
8,801
8,205
9,877
9,674
9,781
9,474
9,24
9,55
9,165
9,377
9,492
9,585
9,720
9,758
9,765
9,779
9,787
10,305
10,124
10,684
10,558
10,923
10,838
10,746
10,285
10,457
10,77
10,657
10,206
10,60
10,272
10,323
11,604
11,263
11,823
11,141
11,839
11,38
11,175
11,220
11,881
11,778
11,32
11,201
11,484
11,46
11,326
12,94
12,295
12,206
12,218
12,232
12,964
12,304
12,676
12,100
12,850
12,185
12,60
12,627
12,924
12,746
13,307
13,63
13,262
13,392
13,454
13,458
13,778
13,918
13,234
13,722
13,473
13,662
13,336
13,420
13,431
14,478
14,36
14,595
14,969
14,559
14,391
14,891
14,59
14,200
14,390
14,198
14,419
14,498
14,676
14,892
15,939
15,814
15,487
15,494
15,355
15,684
15,472
15,605
15,732
15,376
15,950
15,983
15,49
15,371
15,401
16,31
16,84
16,157
16,992
16,454
16,193
16,601
16,941
16,951
16,785
16,421
16,597
16,797
16,952
16,1
17,536
17,608
17,54
17,509
17,780
17,506
17,46
17,154
17,171
17,247
17,261
17,476
17,549
17,589
17,633
18,215
18,314
18,942
18,511
18,39
18,111
18,303
18,319
18,512
18,602
18,698
18,944
18,709
18,617
18,200
19,275
19,429
19,554
19,110
19,350
19,610
19,134
19,272
19,838
19,78
19,104
19,440
19,909
19,401
19,914
