age,ethnicity,gender,location,personality,past_activities,occupation,social_media_use
24,Hispanic,Male,New York,Introverted,"['Water Sports', 'Video Games', 'Creative', 'Team Sports']",Maintenance,2
40,Mixed,Non-Binary,Chicago,Social,"['Outdoor', 'Creative']",Office/Admin,3
24,Black,Female,New York,Introverted,"['Water Sports', 'Strength Training', 'Dance', 'Video Games']",Sales,3
19,Other,Male,New York,Introverted,"['Strength Training', 'Mind-Body']",Student,3
21,Asian,Female,San Francisco,Ambitious,"['Video Games', 'Team Sports']",Student,2
25,Other,Male,Chicago,Extroverted,"['Creative', 'Mind-Body']",Creative,1
18,Mixed,Female,Austin,Social,['Mind-Body'],Student,2
22,Hispanic,Male,Phoenix,Extroverted,"['Individual Sports', 'Video Games']",Student,4
19,Middle Eastern,Male,New York,Extroverted,"['Water Sports', 'Mind-Body', 'Video Games']",Student,3
32,Black,Non-Binary,Austin,Extroverted,"['Team Sports', 'Outdoor', 'Indoor Activites', 'Water Sports']",Healthcare,2
27,White,Male,San Diego,Ambitious,['Creative'],Environmental,4
36,Middle Eastern,Non-Binary,Chicago,Introverted,"['Individual Sports', 'Video Games', 'Mind-Body', 'Strength Training']",Creative,2
22,Black,Male,Austin,Relaxed,"['Individual Sports', 'Dance']",Student,1
22,Middle Eastern,Non-Binary,San Francisco,Social,"['Video Games', 'Individual Sports', 'Strength Training']",Student,1
30,Black,Female,San Diego,Extroverted,['Video Games'],Technology,3
24,Hispanic,Male,Chicago,Relaxed,['Strength Training'],Creative,5
25,Other,Male,San Diego,Social,"['Indoor Activites', 'Outdoor', 'Individual Sports', 'Creative']",Media,4
23,Middle Eastern,Male,San Francisco,Social,"['Mind-Body', 'Creative', 'Team Sports']",Production,1
37,Mixed,Female,San Francisco,Extroverted,['Dance'],Legal Work,5
20,Mixed,Female,Houston,Introverted,"['Team Sports', 'Creative']",Student,1
21,Black,Female,Chicago,Social,['Individual Sports'],Research,4
38,Middle Eastern,Male,Houston,Relaxed,"['Team Sports', 'Dance']",Maintenance,1
23,Mixed,Female,Chicago,Extroverted,"['Dance', 'Water Sports']",Office/Admin,4
19,Asian,Male,Houston,Extroverted,"['Team Sports', 'Dance']",Student,5
20,White,Non-Binary,Austin,Extroverted,['Mind-Body'],Technology,5
21,White,Female,Austin,Social,['Video Games'],Student,5
18,Mixed,Non-Binary,Chicago,Social,['Strength Training'],Student,1
24,Middle Eastern,Female,New York,Social,"['Video Games', 'Indoor Activites']",Sales,2
18,Other,Non-Binary,Phoenix,Introverted,"['Strength Training', 'Dance', 'Indoor Activites', 'Creative']",Student,1
27,Hispanic,Female,San Francisco,Introverted,['Mind-Body'],Healthcare,4
24,Hispanic,Male,Austin,Ambitious,['Strength Training'],Sales,2
27,Middle Eastern,Female,Austin,Extroverted,['Creative'],Healthcare,5
20,Asian,Female,San Francisco,Social,"['Outdoor', 'Creative', 'Video Games', 'Mind-Body']",Student,2
